,_QDA_,_LDA_,_LSVM_,_SVM_,_KNN_,_DT_,_RF_,_GNB_
-8.0,0.13069489185457892,0.3015991716520939,0.1753336401288541,0.4238380119650253,0.4639323515876668,0.17803727565577543,0.3679820524620341,0.29308559595029915
-7.75,0.14185457892314773,0.31598021168890933,0.19080763920846755,0.4370110446387483,0.4777381500230097,0.185630464795214,0.3881155085135757,0.30257708237459735
-7.5,0.15128854118729868,0.33364012885411876,0.2049010584445467,0.44592728946157384,0.4922917625402669,0.18689599631845374,0.3966866083755177,0.3108030372756558
-7.25,0.1580188679245283,0.3546364473078693,0.220777726645191,0.4526576161988035,0.5063276576161988,0.1989185457892315,0.42193971468016567,0.3286930510814542
-7.0,0.17073170731707318,0.3727565577542568,0.23820754716981132,0.4643925448688449,0.5159917165209388,0.20329038196042337,0.4359180855959503,0.3388173032673723
-6.75,0.18609065807639208,0.39967786470317535,0.25983663138518176,0.4730211688909342,0.5350322135296824,0.21117119190059824,0.45248504371836173,0.34779107225034517
-6.5,0.1958697653014266,0.41808559595029915,0.27663368614818223,0.4833755177174413,0.5494707777266452,0.2133571099861942,0.4699723884031293,0.36240220892774966
-6.25,0.21312701334560516,0.4462149102623102,0.2931431201104464,0.49045098941555454,0.5621260929590428,0.21928209848136218,0.4822250345144961,0.37011044638748275
-6.0,0.22238840312931432,0.4601357570179475,0.3141969627243442,0.49884951679705475,0.5685687988955361,0.2252646111366774,0.4953405430280718,0.38138518177634606
-5.75,0.24033594109526002,0.48285780027611597,0.33887482742751956,0.5068453750575241,0.5827197422917625,0.23757478140819144,0.5106419696272434,0.3917970547630005
-5.5,0.25339392544868844,0.50483202945237,0.36044638748274277,0.5147837091578463,0.5929015186378279,0.24102623101702716,0.5229521398987574,0.4016912103083295
-5.25,0.2739300506212609,0.5295674183156925,0.3820179475379659,0.5224919466175794,0.6046939714680166,0.2486194201564657,0.5348021168890934,0.41244822825586747
-5.0,0.2883110906580764,0.5505062126092959,0.4059479981592269,0.5301426599171652,0.6185572940635067,0.26110216290842153,0.5487229636447308,0.4218821905200184
-4.75,0.31247123791992637,0.5674758398527382,0.429475379659457,0.5343994477680626,0.622583985273815,0.25943396226415094,0.5596525540727105,0.4313736769443166
-4.5,0.3219052001840773,0.5853083294983893,0.44805568338702256,0.5380234698573401,0.6397837091578463,0.27565577542567876,0.5659226875287621,0.44218821905200184
-4.25,0.34301656695812244,0.604348826507133,0.4689369535204786,0.5460193281178095,0.6479521398987574,0.27479291302346986,0.5812241141279337,0.4505292222733548
-4.0,0.3625172572480442,0.627185918085596,0.49292452830188677,0.5543028071790151,0.656638288080994,0.2854348826507133,0.5897376898297285,0.46237919926369075
-3.75,0.3833985273815002,0.6394385641969628,0.5113897837091579,0.5594224574321215,0.6595144960883571,0.2889438564196963,0.593591808559595,0.47187068568798896
-3.5,0.4000230096640589,0.6553727565577543,0.5342268752876208,0.561723423838012,0.6739530602853199,0.2990105844454671,0.6073400828347906,0.483087896916705
-3.25,0.4228025770823746,0.6741256327657617,0.5568338702254947,0.5682236539346526,0.6793603313391624,0.3048780487804878,0.6173492867004142,0.4907961343764381
-3.0,0.4479981592268753,0.688506672802577,0.5770823745973309,0.5702369995398067,0.6849976990335941,0.3131615278416935,0.6228716060745513,0.5006327657616199
-2.75,0.4631845375057524,0.698803497468937,0.5917510354348826,0.5752416014726185,0.6922457432121492,0.31787850897376896,0.6278186838472158,0.5075931891394385
-2.5,0.48630924988495167,0.7088127013345605,0.6137827887712839,0.5807063966866084,0.7018522779567419,0.3294408651633686,0.6350667280257708,0.5196157386102163
-2.25,0.5058099401748735,0.7195121951219512,0.6259779107225034,0.586113667740451,0.709790612057064,0.3308789691670502,0.6421997238840313,0.5266336861481823
-2.0,0.5308904739990796,0.7349286700414174,0.6411642890013806,0.5897952139898758,0.7175563736769444,0.34221122871606074,0.6499654855039116,0.5333640128854119
-1.75,0.5478601012425218,0.7457432121491027,0.659054302807179,0.5930740911182697,0.7235964104924069,0.3472158306488725,0.6559479981592269,0.541302346985734
-1.5,0.5696042337781868,0.7536815462494247,0.6741256327657617,0.5985388863322596,0.7306143580303728,0.3539461573861022,0.6634836631385181,0.5465945697192821
-1.25,0.5927864703175334,0.766049240681086,0.6862632305568339,0.6026806258628624,0.7375747814081914,0.35664979291302346,0.6672227335480903,0.5550506212609296
-1.0,0.613150023009664,0.7726645190980211,0.701449608835711,0.6050966405890474,0.7414864242982052,0.36499079613437646,0.6740105844454671,0.5610331339162449
-0.75,0.634894155545329,0.7812931431201104,0.7135872066267832,0.6081454210768523,0.7483317993557294,0.3733317993557294,0.6775770823745974,0.5660377358490566
-0.5,0.6550276115968707,0.7892890013805799,0.7204901058444547,0.6104463874827427,0.7522434422457432,0.37793373216751036,0.6822940635066728,0.5766221813161528
-0.25,0.6773469857340083,0.7941785549930971,0.7359641049240682,0.6143005062126093,0.7616774045098942,0.38316843074091117,0.688046479521399,0.5770823745973309
0.0,0.6890243902439024,0.8023469857340083,0.7423492867004142,0.6180971007823286,0.7640934192360792,0.3912793373216751,0.6899447768062587,0.5827197422917625
0.25,0.7119765301426599,0.8118959963184538,0.7583985273815003,0.616889093419236,0.7702485043718361,0.3988150023009664,0.6993787390704096,0.5897952139898758
0.5,0.7314196962724344,0.8182236539346526,0.7626553152323976,0.6245973308789692,0.7750230096640589,0.4024965485503912,0.7005292222733548,0.59117579383341
0.75,0.7487344684767603,0.8232282558674643,0.7723193741371376,0.6276461113667741,0.7790497008743672,0.4063506672802577,0.7071445006902899,0.5987689829728486
1.0,0.7650138057984354,0.832604693971468,0.7822135296824666,0.6297745052922228,0.7849746893695352,0.41170041417395303,0.7114588127013346,0.6018752876208008
1.25,0.7784169351127473,0.8332374597330879,0.7885411872986654,0.6315577542567878,0.7904394845835251,0.4218821905200184,0.7165209387942936,0.6049815922687529
1.5,0.7921076852277956,0.8383571099861942,0.7934307409111827,0.632248044178555,0.7940059825126553,0.42924528301886794,0.7200874367234238,0.6080303727565578
1.75,0.8044753796594569,0.8434767602393005,0.801196502531063,0.6358145421076852,0.7967671421997239,0.42907271053842616,0.7238265071329959,0.6145881270133456
2.0,0.8155200184077313,0.8507248044178555,0.809767602393005,0.6363322595490106,0.8044178554993097,0.4366083755177174,0.7278531983433042,0.6159687068568799
2.25,0.8267372296364474,0.8530832949838932,0.8184537505752416,0.6374252185918086,0.8070064427059365,0.4377013345605154,0.7351012425218592,0.6200529222273354
2.5,0.8381845375057524,0.8565922687528762,0.8239185457892315,0.6417970547630004,0.8110331339162449,0.44563966866083754,0.7366543948458353,0.6236194201564658
2.75,0.8505522319374137,0.8583179935572941,0.8301886792452831,0.6419121030832949,0.8179935572940635,0.4498389323515877,0.7420616658996778,0.6266682006442706
3.0,0.8550966405890474,0.8637252646111366,0.8350782328578003,0.6427174413253567,0.8202369995398067,0.4546134376438104,0.7444201564657156,0.6278762080073631
3.25,0.8649332719742292,0.8673492867004142,0.8404279797514956,0.6424873446847676,0.8233433041877588,0.46266682006442705,0.7475264611136677,0.6320179475379659
3.5,0.87016797054763,0.8703405430280718,0.8473884031293143,0.6461113667740451,0.8261619880349746,0.46237919926369075,0.7494247583985274,0.6325356649792913
3.75,0.8816152784169351,0.8761504832029452,0.8530832949838932,0.648067188219052,0.8286930510814542,0.4708927749654855,0.7514956281638288,0.6353543488265071
4.0,0.8855269213069489,0.8779337321675104,0.8560745513115509,0.6484698573400829,0.8343879429360331,0.4737689829728486,0.7544868844914864,0.6366774045098942
4.25,0.8932926829268293,0.8807524160147262,0.8619995398067188,0.6511734928670041,0.8376092959042798,0.479348826507133,0.757478140819144,0.6386907501150483
4.5,0.8974344224574321,0.8816728025770824,0.8648182236539347,0.6522089277496549,0.8410032213529682,0.4835480901978831,0.761849976990336,0.6413368614818223
4.75,0.901576161988035,0.8839737689829729,0.8718361711919006,0.6518637827887713,0.843591808559595,0.48441095260009204,0.7647261849976991,0.6426599171652094
5.0,0.9067533364012885,0.8851242521859181,0.8729866543948458,0.6545098941555453,0.8456626783248965,0.48861021629084217,0.769788311090658,0.6445006902899217
5.25,0.908594109526001,0.8866774045098942,0.8785664979291302,0.6547399907961344,0.8481362172112287,0.49390243902439024,0.7685803037275656,0.6469167050161068
5.5,0.9117004141739531,0.8911642890013806,0.8797745052922228,0.6559479981592269,0.8494592728946158,0.494075011504832,0.7720317533364013,0.646514035895076
5.75,0.9143465255407272,0.8929475379659457,0.8866774045098942,0.6563506672802577,0.8525655775425679,0.5010354348826507,0.7740450989415555,0.6492176714219973
6.0,0.9203865623561897,0.8946732627703635,0.8885757017947538,0.6578462954440866,0.8553267372296365,0.5028762080073631,0.7785319834330419,0.6503106304647952
6.25,0.9236079153244363,0.8970317533364013,0.8919696272434422,0.659054302807179,0.8562471237919926,0.5060400368154625,0.7822135296824666,0.6511734928670041
6.5,0.9253911642890014,0.8951334560515416,0.8935227795674183,0.6581914404049701,0.8621145881270134,0.5159917165209388,0.7821560055223193,0.6517487344684768
6.75,0.9275770823745974,0.8984698573400829,0.8965715600552232,0.6608375517717441,0.8621145881270134,0.5189254486884491,0.7824436263230556,0.6529567418315693
7.0,0.9290151863782788,0.8975494707777266,0.8997929130234699,0.6619305108145421,0.8645881270133456,0.5212264150943396,0.7883110906580764,0.6554878048780488
7.25,0.9312011044638748,0.903129314312011,0.9024390243902439,0.661240220892775,0.8670616658996778,0.5185227795674183,0.7902669121030833,0.6559479981592269
7.5,0.9340773124712379,0.9033018867924528,0.9055453290381961,0.6634261389783709,0.8694776806258628,0.5318108605614358,0.7915899677864703,0.6575011504832029
7.75,0.9344224574321215,0.9033018867924528,0.9057754256787851,0.6615278416935113,0.8685572940635067,0.53382420616659,0.7926254026691211,0.6572135296824666
8.0,0.9393120110446388,0.9045674183156925,0.9098021168890934,0.6625057524160147,0.8716060745513116,0.5358375517717441,0.7977450529222273,0.658594109526001
8.25,0.9401173492867004,0.9056603773584906,0.911470317533364,0.662333179935573,0.8742521859180856,0.5382535664979291,0.7949263690750115,0.6600322135296824
8.5,0.9408651633686148,0.9058904739990796,0.912793373216751,0.6636562356189599,0.8746548550391164,0.5438909341923608,0.8007938334100322,0.6607225034514496
8.75,0.940462494247584,0.9052577082374598,0.9135987114588127,0.6645766221813162,0.8777611596870686,0.5460193281178095,0.8006212609295904,0.6615853658536586
9.0,0.9437988955361252,0.9079038196042338,0.9148642429820525,0.6659572020248504,0.8770133456051542,0.5526921306948919,0.8015991716520939,0.6634836631385181
9.25,0.9433962264150944,0.9104924068108605,0.9164749194661758,0.6668200644270593,0.8799470777726646,0.5530372756557754,0.8025770823745974,0.6610676484123332
9.5,0.9449493787390704,0.9093419236079153,0.9196962724344224,0.6660147261849977,0.8812701334560515,0.5591923607915325,0.8066037735849056,0.662333179935573
9.75,0.9473653934652554,0.9093419236079153,0.9186033133916245,0.6664749194661758,0.8808674643350207,0.5578117809479981,0.8096525540727105,0.6618154624942476
10.0,0.9472503451449609,0.9107800276115968,0.9205591348366314,0.6668775885872066,0.8818453750575241,0.5633916244822825,0.8109756097560976,0.6641164289001381
10.25,0.9475379659456972,0.9112977450529223,0.9206166589967787,0.6667050161067648,0.883110906580764,0.5643120110446388,0.8113207547169812,0.6643465255407272
10.5,0.9493787390704096,0.9115278416935113,0.922457432121491,0.6683732167510354,0.8869650253106305,0.5696617579383341,0.8145421076852278,0.6646341463414634
10.75,0.9486309249884952,0.9115853658536586,0.9230901978831109,0.6648642429820525,0.8872526461113668,0.571617579383341,0.8128739070409572,0.6658421537045559
11.0,0.9496663598711459,0.9135411872986654,0.9253336401288541,0.6658996778647032,0.8874827427519558,0.5755292222733548,0.8157501150483203,0.6648067188219052
11.25,0.9502416014726185,0.912793373216751,0.9244707777266452,0.6669351127473538,0.8880004601932812,0.5770248504371837,0.8163828808099401,0.6656695812241141
11.5,0.9504141739530603,0.9133686148182236,0.9265991716520939,0.6687758858720663,0.8889783709157846,0.5809364933271974,0.815232397606995,0.6667050161067648
11.75,0.9519673262770364,0.9135411872986654,0.9274620340543028,0.6669926369075011,0.8915669581224114,0.5807639208467557,0.8183962264150944,0.6671076852277956
12.0,0.9520248504371837,0.9143465255407272,0.9273469857340083,0.6664173953060285,0.8911067648412333,0.5878969167050161,0.8174758398527382,0.666302346985734
